sourceArchive,matchUrl,recordKind,createdAt,players,prematchDecision,prematchSent,liveSignals,finalScore,resultStatus,pointSnapshots,leftPlayer,rightPlayer,leftWinOdds,rightWinOdds,winOddsSource,winOddsObservedAt,pairRegimeBranch,pairRegimeAccepted,pairPointWindow,pairFormEdge,pairStrengthSum,pairStrengthEdge,pairSelectedLatePointRate,decision,sent,protocolId,gateId,signalMode,pbpFilterAccepted,accuracyModeAccepted,moderateModeAccepted,pbpPointWindow,baseSelectedSideIndex,selectedSideIndex,sideCorrectionApplied,sideCorrectionReason,relativeAgreementScore,latestPbpReversal,leftCollapseCount,rightCollapseCount,collapseSum,collapseDifference,collapseSumWithinLimit,collapseCountsUnequal,collapseAccepted,selectedStrengthScore,opponentStrengthScore,selectedStrengthEdge,strongSelectedStrengthException,selectedHistoryMatches,selectedHistorySetSharePct,selectedHistorySetShareException,selectedFreshForm3Score,opponentFreshForm3Score,selectedHistory5WindowMatches,opponentHistory5WindowMatches,selectedHistory5SetSharePct,opponentHistory5SetSharePct,selectedHistory5SetShareEdge,selectedHistory8PerformancePct,opponentHistory8PerformancePct,relativeHistoryWindowReady,selectedFreshAtOrAboveHistory8,opponentFreshAtOrAboveHistory8,relativeFormSetShareException
bsportsfan-telegram-prediction-games-500-1785096901271.csv,https://ru.bsportsfan.com/table-tennis/r/12294743/filip-wolf-vs-jan-mecl-jnr,observed_only,26.07 01:02,Филип Вольф vs Ян Мекл мл.,,0,0,,,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bsportsfan-telegram-prediction-games-500-1785096901271.csv,https://ru.bsportsfan.com/table-tennis/r/12295071/julius-didi-vs-vaclav-kosar,forecasted,25.07 23:00,Юлиус Диди vs Вацлав Косар,ПРОПУСК,0,0,3-1,miss,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bsportsfan-telegram-prediction-games-500-1785096901271.csv,https://ru.bsportsfan.com/table-tennis/r/12295797/jan-hrabec-vs-tomas-kraninger,forecasted,25.07 23:00,Ян Храбец vs Томас Кранингер,СТАВИМ,1,0,3-2,hit,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bsportsfan-telegram-prediction-games-500-1785096901271.csv,https://ru.bsportsfan.com/table-tennis/r/12295801/daniel-tuma-vs-jan-trefny,forecasted,25.07 23:00,Дэниэл Тума vs Ян Трефни,СТАВИМ,1,0,3-1,hit,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bsportsfan-telegram-prediction-games-500-1785096901271.csv,https://ru.bsportsfan.com/table-tennis/r/12295804/martin-bittner-vs-milan-klement,observed_only,25.07 22:42,Мартин Биттнер vs Милан Клемент,,0,0,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bsportsfan-telegram-prediction-games-500-1785096901271.csv,https://ru.bsportsfan.com/table-tennis/r/12295813/filip-wolf-vs-jiri-ruzicka,forecasted,26.07 02:30,Филип Вольф vs Иржи Ружицка,СТАВИМ,1,0,3-0,hit,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bsportsfan-telegram-prediction-games-500-1785096901271.csv,https://ru.bsportsfan.com/table-tennis/r/12295817/pavel-fojt-vs-daniel-tuma,observed_only,25.07 22:41,Павел Фойт vs Дэниэл Тума,,0,0,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bsportsfan-telegram-prediction-games-500-1785096901271.csv,https://ru.bsportsfan.com/table-tennis/r/12295818/milan-klement-vs-robin-pacha,forecasted,25.07 23:00,Милан Клемент vs Робин Пача,ПРОПУСК,0,0,2-3,hit,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bsportsfan-telegram-prediction-games-500-1785096901271.csv,https://ru.bsportsfan.com/table-tennis/r/12295820/jiri-ruzicka-vs-martin-huk,observed_only,26.07 01:33,Иржи Ружицка vs Мартин Хук,skip,0,0,0-3,miss,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bsportsfan-telegram-prediction-games-500-1785096901271.csv,https://ru.bsportsfan.com/table-tennis/r/12295833/dominik-oborny-vs-daniel-langer,forecasted,25.07 23:00,Доминик Оборны vs Дэниел Лангер,СТАВИМ,1,0,3-1,miss,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
