sourceArchive,scope,rule,protocolId,observed,pending,matched,settled,uniqueMatches,wins,losses,hit,hitRatePct,wilsonLowerPct,coveragePct,eligibleCoveragePct,qualified,deliveryPct,modelId,threshold,cohortStatus,cohortLocked,cutoffDecisionAt,cutoffMatchUrl,targetAccepted,minimumReviewAcceptedSettled,seenEligible,sent,shadowOnly,targetCohortSize,observedTaggedRows,roiStatus,gateId,telegramEnabled
bsportsfan-telegram-prediction-rules-20-1785096901271.csv,forward_production_core_margin,qualityAbs >= 0.16,start-quality-production-core-margin-v2-2026-07-25,196,7,114,107,114,77,30,77/107,72,62.8,58.2,58.2,,,,,,,,,,,,,,,,,,
bsportsfan-telegram-prediction-rules-20-1785096901271.csv,forward_rejected_core_margin,qualityAbs < 0.16,start-quality-production-core-margin-v2-2026-07-25,196,8,82,74,82,53,21,53/74,71.6,60.5,41.8,41.8,,,,,,,,,,,,,,,,,,
bsportsfan-telegram-prediction-rules-20-1785096901271.csv,forward_shadow_no_conflict,negativeWeight <= 1e-12,start-quality-production-core-margin-v2-2026-07-25,196,6,92,86,92,60,26,60/86,69.8,59.4,46.9,46.9,,,,,,,,,,,,,,,,,,
bsportsfan-telegram-prediction-rules-20-1785096901271.csv,forward_shadow_three_of_four,supportVotes >= 3,start-quality-production-core-margin-v2-2026-07-25,196,10,139,129,139,93,36,93/129,72.1,63.8,70.9,70.9,,,,,,,,,,,,,,,,,,
bsportsfan-telegram-prediction-rules-20-1785096901271.csv,forward_shadow_balanced_020,conflictRatio <= 0.20,start-quality-production-core-margin-v2-2026-07-25,196,10,144,134,144,94,40,94/134,70.1,61.9,73.5,73.5,,,,,,,,,,,,,,,,,,
bsportsfan-telegram-prediction-rules-20-1785096901271.csv,tt_cup_shadow_no_filter,no quality filter,tt-cup-shadow-core-margin-v2-2026-07-25,60,4,60,56,60,34,22,34/56,60.7,47.6,100,100,,,,,,,,,,,,,,,,,,
bsportsfan-telegram-prediction-rules-20-1785096901271.csv,tt_cup_shadow_core_margin,qualityAbs >= 0.16,tt-cup-shadow-core-margin-v2-2026-07-25,60,2,29,27,29,15,12,15/27,55.6,37.3,48.3,48.3,,,,,,,,,,,,,,,,,,
bsportsfan-telegram-prediction-rules-20-1785096901271.csv,tt_cup_shadow_rejected,qualityAbs < 0.16,tt-cup-shadow-core-margin-v2-2026-07-25,60,2,31,29,31,19,10,19/29,65.5,47.3,51.7,51.7,,,,,,,,,,,,,,,,,,
bsportsfan-telegram-prediction-rules-20-1785096901271.csv,tt_cup_shadow_three_of_four,supportVotes >= 3,tt-cup-shadow-core-margin-v2-2026-07-25,60,2,34,32,34,19,13,19/32,59.4,42.3,56.7,56.7,,,,,,,,,,,,,,,,,,
bsportsfan-telegram-prediction-rules-20-1785096901271.csv,forward_published_two_set_weighted,prematch-two-set-weighted-v20,,0,0,0,0,0,0,0,0/0,,,,,,,,,,,,,,,,,,,,,,
bsportsfan-telegram-prediction-rules-20-1785096901271.csv,forward_published_live_first_set_winner,live-first-set-winner-early-v1,,0,0,0,0,0,0,0,0/0,,,,,,,,,,,,,,,,,,,,,,
bsportsfan-telegram-prediction-rules-20-1785096901271.csv,forward_published_live_first_set_winner_drawdown,live-first-set-winner-drawdown-v2,,0,0,0,0,0,0,0,0/0,,,,,,,,,,,,,,,,,,,,,,
bsportsfan-telegram-prediction-rules-20-1785096901271.csv,forward_published_live_first_set_winner_zero_zero,live-first-set-winner-early-v1,,0,0,0,0,0,0,0,0/0,,,,,,,,,,,,,,,,,,,,,,
bsportsfan-telegram-prediction-rules-20-1785096901271.csv,forward_published_live_first_set_winner_early_points,live-first-set-winner-early-v1,,0,0,0,0,0,0,0,0/0,,,,,,,,,,,,,,,,,,,,,,
bsportsfan-telegram-prediction-rules-20-1785096901271.csv,forward_published_live_first_set_winner_margin_five,live-first-set-winner-early-v1,,0,0,0,0,0,0,0,0/0,,,,,,,,,,,,,,,,,,,,,,
bsportsfan-telegram-prediction-rules-20-1785096901271.csv,forward_published_live_general_one_one,live-two-factor-one-one-safety-v5,,0,0,0,0,0,0,0,0/0,,,,,,,,,,,,,,,,,,,,,,
